story_num,story_version,abstract,variant_group
126,s126,"Ill-treated heroine (by father)--Heroine flight--Heroine disguise (sheepskin)--Menial heroine--Task (grain-sorting) set by royal mistress--Task-performing animal (doves)--Heroine meets prince in forest, gives him his dropped whip and he strikes her with it. She then goes to oak-tree and gets Magic dresses, carriage and servants--Meeting-place (church)--Token objects (heroine tells prince's servant she comes from "" Pick-up-Whip"", and, on second occasion from ""Gold-ring"", having in the mean time restored lost ring to prince in forest and been repulsed by him)---Pitch-trap--Lost shoe--Search for owner--Animal witness (white doves remind prince who picked up whip and gold ring)--Happy marriage.",A
127,s127,"White-bearded old man warns girls, who are spinning and telling tales, against dropping spindle into chasm. Heroine drops hers, transforming mother into cow--Ill-treated heroine (by step mother) -- Task, spinning -- Transformed mother help -- Spy on heroine--Slaying of helpful animal--Eating taboo--Revivified bones--Help at grave--Menial heroine--Hearth-abode-- Task, grain-sorting--Task-performing animal (birds)--Magic dresses -- Meeting-place (church) -- Three-fold flight -- Lost shoe--Shoe marriage test--Animal witness (cock), reveals heroine under trough--Happy marriage--Villain Nemesis.",A
134,s134,"Death-bed promise--Deceased wife's shoe marriage test--Unnatural father--Old woman aid--countertasks--Magic dresses--Heroine's hiding-box (an invisible chest which travels at command)--Heroine disguise (pigskin)--Heroine flight--Heroine taken to king's palace to mind poultry--Menial heroine--Prince threatens heroine with (1) bridle, (2) boots, (3) shovel--Meeting-place (ball)--Token objects named--Three-fold flight--Heroine quest by prince, who takes with him cakes made by queen, also heroine's cake containing ring given at ball--Recognition food-- Return of prince--Heroine discovered (through key-hole)--Happy marriage.",B
135,s135,"Death-bed promise--Deceased wife's jewels marriage test-- Unnatural father -- Governess aid -- countertasks -- Magic dresses--Heroine demands white horse: wears its skin. Heroine disguise--Heroine flight--Hunting prince takes heroine to palace; calls her Ugly Beast. Strikes her with shovel, tongs, and saddle-- Meeting-place (feast)--Token objects named--lovesick prince--Recognition food--Heroine discovered (prince looks through key-hole)--Happy marriage.",B
136,s136,"Deceased wife's ring marriage test--Unnatural father-- countertasks -- Magic dresses -- Heroine disguise (wooden figure)--Heroine flight--Hunting prince takes heroine to palace. She lives in kitchen says she is called wooden lady--Prince heats her with (1) shovel, (2) tongs, (3) bellows--Meeting-place (ball)--Token objects named--lovesick prince--Recognition food--Happy marriage.",B
137,s137,"Heroine, a lord's daughter, sets out to seek fortune--Fairy aid-- Heroine disguise (man's clothes and big cloak)--Menial heroine (stable-boy to King of Portugal); called ""Ugly-Skin""--Forgets king's (1) stirrup, (2) whip, (3) bridle; is hit with these objects-- Magic dress (obtained by fairy wand)--Meeting-place (ball)-- Token objects named flight--Three-fold flight--Pursuers detained by (1) confetti, (2) money, (3) great smoke--lovesick prince--Queen's cakes burned; heroine's substituted--Recognition food-- Heroine discovered (prince tears off husk)--Happy marriage.",B
138,s138,"Woman gives birth to gourd; exposes it in forest, not knowing lovely girl is inside--Prince finds talking gourd, takes it home. When refusing to take "" Little Gourd"" to ball, gives her (1) whip, (2) kick, (3) slap. (Magic dresses)--Meeting-Place (ball)--Token objects named--Three-fold flight--lovesick prince-- Recognition food (contains presents given at hall)--Happy marriage.",B
139,s139,"countertasks (wooden-case, three dresses, and bird Verderrio) from father--Menial heroine, lives in king's hen-house. Hens sing of her loveliness-Meeting-place (ball)--Threefold flight--Pursuers blinded with sand and quattrini--lovesick prince--Recognition food (contains presents given at ball)--Happy marriage.",B
141,s141,"Heroine sets out to see the world--Heroine disguise (skin of Corpse obtained from grave-digger)--Menial heroine (goose-herd at palace)--Geese sing of her loveliness. Prince spies from behind hedge--lovesick prince--Recognition food (heroine puts in royal signet ring, etc.)--Happy marriage.",B
142,s142,Death-bed promise--Deceased wife's ring marriage test--Unnatural father--Governess aid--countertasks--Magic dresses-- Heroine disguise (wooden dress)--Heroine flight--Menial heroine--Meeting-place (ball)--Token objects named--Three-fold flight--lovesick prince--Recognition food--Heroine discovered--Happy marriage.,B
144,s144,"Unnatural father--Dead mother help--countertasks--Magic dresses--Heroine disguise--Outcast heroine (father, disgusted with heroine in pig-skin hood, drives her from home)--Hunting prince finds ""Pig-skin Hood"" in tree; takes her to palace-- Meeting-place (ball)--Three-fold flight--Pitch-trap--Lost shoe--Shoe marriage test--Prince destroys pig-skin hood--Happy marriage-- Heroine tells prince of Deceased wife resemblance marriage test to explain her disguise.",B
147,s147,"Heroine, like deceased mother, has hair and teeth of gold-- Unnatural father--Dead mother help at grave --countertasks--Magic dresses provided by devil--Father deluded by splashing of doves--Heroine flight--Heroine disguise (wolf's skin)-- Menial heroine (gooseherd)--Meeting-place (ball) --Twofold flight--Lovesick prince--Recognition food, contains ring and bracelet given at balls--Happy marriage.",B
148,s148,"Death-bed promise--Deceased wife's ring marriage test-- Unnatural father--Nurse aid--countertasks--Magic dresses, provided by devil--Heroine's hiding-box (cage)--Heroine flight--Heroine disguise (fur dress--Magic dress inside out)--Menial heroine (poultry-herd)--Meeting-place (ball)--Threefold flight--Money thrown to detain pursuers--Lovesick prince--Recognition food, contains jewel and necklace given at ball--Happy marriage--Heroine's father enters palace disguised as goldsmith; is recognised by heroine. He drugs the household; attempts to throw heroine into boiling oil. She wakes and arouses sentinels--Villain Nemesis. Father thrown into boiling oil.",B
150,s150,"Death-bed promise -- Deceased wife's shoe marriage test-- Unnatural father -- countertasks -- Heroine's hiding-box (wooden figure)--Flight--Hunting prince finds heroine; takes her to palace--Menial heroine--Meeting-place (ball)--Magic dresses--Token objects thrown (Prince strikes heroine with whip, hoot, and hand)--Three-fold flight--lovesick prince--Recognition food (ring given at first ball)--Happy marriage.",B
151,s151,Deceased wife's clothes marriage test--Unnatural father --Foster-mother aid--countertasks--Magic dresses--Heroine's hiding-box--Heroine put to sea in chest; rescued by herd-- Menial heroine--Meeting-place (sermon)--Threefold flight-- Lost shoe--Shoe marriage test--Mutilated feet--Animal witness (bird)--Happy marriage.,B
152,s152,"Deceased wife's clothes marriage test--Unnatural father-- Uncle aid--countertasks--Magic dresses--Heroine flight (on filly with magic bridle)-- Menial heroine--Royal mistress throws basin of water at heroine--Meeting-place (ball)--Token objects (heroine says she comes from ""Broken-basin Land"", and after wards, from ""Candlesticks"")--Twofold flight--Lost shoe--Love sick prince--Shoe marriage test--Mutilated feet--Happy marriage.",B
153,s153,"Unnatural father--Mother help at grave--countertasks-- Magic dresses--Heroine disguise--Heroine dresses nine dolls; speaks to them--Heroine flight--Seeks dead mother in other world; falls asleep; is found by gentleman, who makes her his servant--Menial heroine--Meeting-place (church)--Threefold flight--Trap. Monks pour oil at church entrance--Lost shoes [Shoe marriage test]--Search for owner of shoes. Heroine found asleep on stove--Happy marriage.",B
154,s154,"Death-bed promise--Deceased wile's ring test--Unnatural father--Nurse aid--countertasks -- Magic dresses -- Heroine flight--Heroine disguise (pumpkin dress)--Prince takes heroine to palace--Menial heroine--Token objects thrown--Meeting-place (ball)--Heroine names shovel, whip, tongs--Three-fold flight--lovesick prince--Recognition food (pin, ring, and miniature given at balls)--Happy marriage--Heroine makes herself known to father at wedding; forgives him.",B
155,s155,"Unnatural father -- Confessor aid--countertasks -- Magic dresses-- Heroine disguise (old woman skin)--Heroine flight-- Devil claims father--Fairies endow heroine with beauty--Menial heroine (takes service with innkeeper; afterwards waits on king)--Heroine struck with (1) boot, (2) stocking, (3) garter--Meeting-place (ball) Token objects named--Threefold flight--Ashes thrown at pursuers--Lovesick prince (after second ball)--Recognition food, contains ring given at second ball--King leaves third ball before heroine; hides in house facing palace to watch-- Heroine discovered--Happy marriage.",B
157,s157,"Death-bed promise--Deceased wife's ring marriage test--Unnatural father--countertasks (not set till wedding dresses --Heroine disguise (wooden dress) -- Heroine flight-.-- Heroine dons wooden dress, throws herself into river and floats. Gentleman rescues her and takes her home as servant to his mother --Meeting-place (ball) -- Gentleman beats heroine twice for asking to go to hall--(Token objects) --Three-fold flight--lovesick prince--Recognition food (ring given at third ball)--Happy marriage.",B
159,s159,Death-bed promise--Deceased wife's wedding-ring marriage test--Unnatural father--Governess aid--countertasks--Magic dresses (provided by merchant whom father meets and who asks what is amiss)--Heroine disguise (wooden figure)--Father made to fall into well--Heroine flight--Hunting prince finds heroine; takes her to palace--Menial heroine (gooseherd)--Geese sing in praise of her beauty--Meeting-place (ball)--Three-fold flight-- Money scattered on third night to hinder pursuit -- lovesick prince--Recognition food--Heroine discovered -- Happy marriage.,B
161,s161,"Death-bed promise--Deceased wife resemblance marriage teat--Unnatural father -- countertasks -- Magic dresses-- Heroine flight--Heroine disguise--Allerleirauh found in tree and carried off by king--Menial heroine--Meeting-place (ball)-- Three-fold flight--Recognition food--(Gold ring, gold reel, and gold spinning-wheel in soup)--Prince puts ring on heroine's finger at third ball--Heroine flings disguise over ball-dress; omits to blacken one finger--Recognition (by means of ring on white finger)--Happy marriage.",B
162,s162,Unnatural father--Helpful animal (red cow)--Heroine flight on red cow. Cow hides in sand-pit; bids heroine seek employment at palace--Menial heroine (kitchen-maid)--Magic dresses from cow--Meeting-place (church) -- Threefold flight --Lost shoe--Shoe marriage test--Happy marriage--Red cow is an enchanted princess.,B
163,s163,Unnatural Father-- countertasks--Magic dresses--Heroine disguise (skin-gown)--Heroine flight--Menial heroine (kitchen maid)--Meeting-place (church)--Threefold flight--Lost shoe--Happy marriage.,B
164,s164,Unnatural father -- Old woman aid -- countertasks -- Magic dresses--Heroine disguise (as poor girl)--Heroine flight--Menial heroine (kitchen-maid) -- Meeting-place (church) -- Threefold flight --Lost shoe-- Heroine quest--Happy marriage--Father attends wedding.,B
165,s165,"Death-bed promise--Deceased wife's ring marriage test--Unnatural father--Old woman aid--countertasks--Magic dresses--Heroine flight (in wooden top)--Marquis buys Heroine's hiding-box--Heroine waits on him; strikes him with (1) tongs, (2) broom, (3) shovel, for refusing to take her to ball--Meeting-place (ball)--Token objects named--Three-fold flight.--Heroine discovered--Happy marriage.",B
168,s168,Unnatural father- --countertasks-- Magic dresses--Heroine demands talking goose which she puts in basin of water and which replies for her when father calls-- Heroine disguise (a large cloak)--Heroine flight-- -Menial heroine--Hearth abode--meeting-place (ball)--Twofold flight (heroine does not attend third ball; has stolen prince's ring at second) lovesick prince--Recognition food--Happy marriage--Anon prince seeks heroine's father.,B
169,s169,"Deathbed promise--Deceased wife's ring marriage test--Unnatural father--Heroine stabs herself; is restored to life by father's flute-playing, as directed by enchantress--Heroine cuts off left hand and burns right in fire. Hands are restored by magic herb--Heroine is guarded, but seizes staff on which is written ""Touch me not"", and is transformed into lamb. Enchantress is powerless to remove spell.",B
170,s170,"Unnatural father--Fairy aid (in shape of filly)--countertasks-- Magic dresses--Heroine disguise (cat-skin dress) --Heroine flight--Hunting prince finds heroine in forest; takes her to palace--Menial heroine--Prince orders heroine to bring him (1) basin and towel, (2) hot water and towel, (3) needle and thread that he may observe her--Meeting-place (ball)--Recognition of heroine by means of ring placed by prince on her finger at third ball-- Happy marriage.",B
171,s171,"Death-bed promise--Deceased wife's ring marriage test -- Unnatural father--Heroine's hiding-box (bedstead with secret drawer); sold to prince--Surprise rencontre--Prince clothes heroine in ""wonder of wonders"". His mother omits to feed her during his absence. Heroine runs away; climbs tree over hanging well--Three daughters of sacramental-wafer-maker see heroine's reflection, think it their own, and refuse to draw water. Mother goes to well; calls heroine down--lovesick prince-- Recognition food (wafer made by heroine and having impression of her ring on it)--Happy marriage.",B
172,s172,"Death-bed promise--Deceased mother's ring marriage test Unnatural brother--Heroine flight--Heroine found in hollow tree and taken by children to their parents--Meeting-place (feast)--Heroine struck with (1) boot, (2) towel, (3) looking-glass--Magic equipage from hollow tree--Token objects named--Happy marriage.",B
173,s173,Unnatural father--Heroine possesses five Magic dresses-- Heroine disguise (dress of cat's-eyes)-[Heroine flight]--Menial heroine (at palace) --Meeting-place (church) --[heroine Flight] --Search for heroine -- lovesick prince-- --Recognition [food] -- Happy marriage.,B
175,s175,"Death-bed promise--Deceased wife's clothes marriage test-- Unnatural father--Heroine goes to drown herself--Old woman aid--countertasks-- Gown of crows' bills --Helpful animal--(red cow)--Heroine flight on red cow--They pass copper, silver, gold forests. Spite of warning heroine plucks a leaf in each, causing three bulls to appear and fight cow, who is each time victorious. Cow stays on green hill sends heroine to palace-- Menial heroine (cook)--meeting-place (church)--Cow does kitchen-work--Heroine wears crows' bill gown; on leaving she throws behind her (1) copper, (2) silver, (3) gold leaf--Threefold flight--Lost shoe--Shoe marriage test--Mutilated feet--Happy marriage--Father attends wedding.",B
176,s176,"Death-bed promise--Deceased wife's clothes marriage test-- Unnatural father--countertasks --Magic dresses--Heroine disguise (wooden sheath)--Heroine flight--Hunting prince takes heroine to palace. She will only eat human food. Queen hits her with gridiron, furnace besom, bobbin--Meeting-place (wedding)--Token objects named--Heroine takes, (1) ring, (2) watch and chain, (3) watch from prince, whilst he sleeps--Threefold flight--lovesick prince--Recognition Food- --Heroine discovered --Happy marriage.",B
177,s177,"Deceased wife's resemblance and wedding clothes marriage test--Unnatural father--Old woman aid--countertasks--Magic dresses--Heroine disguise (as servant)--Heroine flight--Menial heroine (swineherd)--Heroine discovered thrice in forest by hunting lord; she doffs magic dress ere he reaches her--Young lord hides at neighbouring farm, goes to bed in dark corner, and feigns to be poor sick woman; farmer's wife does his bidding. He is visited in turn by three young ladies from castle, one of whom he was to select as bride. Each makes confession to him; the first has abandoned her one child, the second her two children, the third her three children. Fourth day swineherd brings food from castle; tells supposed old woman who she is. Young lord goes home; sups alone with three young ladies, flogs them, denounces them, sends them to their homes. Calls swineherd, tells of her revelation to him--Happy marriage.",B
178,s178,"Death-bed promise--Deceased wife's resemblance marriage test--Unnatural father--Old woman aid Heroine dresses iii ass-skin, and makes herself dirty, but fails to repulse father--countertasks --Magic dresses - Heroine disguise --Heroine flight --Menial heroine (goose-girl at king farm)-- Heroine at river-bank doffs disguise and puts on finery. Geese in their admiration will not feed; grow thinner daily. Prince hears them sing about lovely lady; goes to spy--Heroine discovered--Prince seeks her vainly after this; takes her ring from her room--lovesick prince--Ring marriage test-- Happy marriage.",B
179,s179,"Unnatural father--Priest aid--countertasks--Magic dresses--Heroine's hiding-box--Heroine flight--Prince buys chest containing heroine--Surprise rencontre.--Prince goes to war; bids servants take food to his room as usual. They spy heroine through key-hole; cast her into a pit of thorns, and sell chest. Peasants deliver heroine and make her tend swine. Prince returns, seeks heroine in vain, falls ill. King offers reward for cheering prince. Swineherd appears, is recognised by ring-- Happy marriage.",B
180,s180,"(NOTE--The beginning of the story is missing.) Two sisters buy donkey the one in love with king's son wears its skin--Heroine disguise (ass-skin)--Menial heroine (turkey girl)--Heroine discovered by hunting prince. Chaffinch warns her--Lovesick prince--Recognition food, contains heroine's ring--Ring marriage test--Happy marriage.",B
181,s181,"Death-bed promise--Deceased wife's ring marriage test-- Unnatural father -- countertasks--Magic dresses--Heroine disguise (wooden cloak)--Heroine flight--Menial heroine (at palace)--Heroine carries water, towel, handkerchief, to king - Meeting-place (church) -- Token objects named--Threefold flight--Lost shoe--Shoe marriage test--Happy marriage.",B
182,s182,Unnatural woman aid--countertasks--Magic dresses--[Heroine disguise (crowskin cloak)]--Heroine flight--Menial heroine (scullery-maid at palace) -- Meeting-place (church)--Threefold flight--Lost shoe--Shoe marriage test-- Happy marriage.,B
183,s183,"Death-bed promise--Deceased wife's ring marriage test--Unnatural father--Fairy aid--countertasks--Magic dresses-- Heroine disguise (cork dress)--Heroine flight (after wedding)-- Father deluded by splashing of pigeons in water--Heroine in cork dress thrown by fairy into sea; found by prince and taken as curiosity to palace; called ""Dame Cork""--Menial heroine (gooseherd)--Every Sunday heroine doffs disguise, dons magic dress, climbs into tree and combs hair, from which fall golden pips which geese peck. They sing round tree. Prince on way to ball meets heroine; throws (1) boot, (2) shovel, at her, (3) hits her, for asking where he is going--Meeting-place (ball)--Token objects named--Threefold flight--Handful of ashes thrown in the air turns to mist and hinders pursuit--Lovesick prince-- Recognition food (contains ring given at third ball)--Happy marriage.",B
184,s184,"Death-bed promise wife's ring marriage test-- Unnatural father -- Old woman's aid .- - countertasks -- Magic dresses -- Heroine disguise (wooden dress) -- Heroine flight -- Menial heroine--Calls herself Maria do Pau--King watches heroine ill magic dress tending ducks, and hears her sing that she is a king's daughter. Heroine, disguised, asks permission to go to feast; king throws at her (1) boots, (2) towel, (3) walking-stick-- Magic wand provides carriage for heroine -- Meeting-place (feast)--Token objects named--Money thrown to guards-- Threefold flight--Heroine discovered--King sees through key hole heroine doing embroidery; asks her, when waiting on him, to embroider him shoes. She pretends she cannot--Surprise rencontre--Happy marriage.",B
189,s189,Death-bed promise- Deceased wife's shoe test--Unnatural Father--countertasks--Heroine's hiding-box--Father sells chest containing heroine to prince--Surprise rencontre--Happy marriage.,B
191,s191,"Father visits white-goat castle; omits to thank his invisible host. Must return next day or bring youngest daughter in his stead. White-goat wants to marry heroine; bids her not look in his ear. Whilst he sleeps she looks and finds key which opens three chambers wherein for seven years workers have been making robes, etc., for her. White-goat is awake when she would replace key; he reproves her and she leaves him to return home--Death bed promise--Deceased wife's resemblance marriage test--Unnatural father--Fairy godmother aid--countertasks--Magic dresses -- Heroine escapes in magic wheel-harrow: Heroine flight--Heroine disguise (ass-skin)--On way to castle she begs from pickers, a walnut, an almond, a nut-- Menial heroine (turkey girl)--(Task self-imposed)--Heroine asks mistress for hemp, which magic spinning instruments [contained in three nuts], spin and wind--Spy on heroine--Mistress wants to buy magic instruments. Heroine parts with each in turn for permission to pass night in chamber of echoes--Servants hear her calling all night to white-goat and complain--Master's son throws away sleeping- draught, hears also and replies to heroine--lovesick prince-- Recognition food, contains heroine's ring--Ring marriage test-- Happy marriage.",B
192,s192,Deceased wife's ring marriage test -- Unnatural father -- Fairy aid -- countertasks -- Magic dresses --Heroine flight-- Menial heroine (works in garden)--Meeting-place (ball)--Token objects named--Threefold flight--lovesick prince--Recognition food--Happy marriage.,B
193,s193,"Queen wishes for a child, ""even a snake""; has daughter with snake round her neck; no one can remove it. Child is fond of snake. It leaves her neck to play in the sea; one day it returns no more, but tells heroine that when in danger she may call for it, whose name is Labismina--Death-bed promise--Deceased wife's ring marriage test--Unnatural father-- Snake aid-- countertasks--Magic dresses--Heroine flight in ship provided by Dona Labismina, who gives her directions and bids her, after she is married to prince, call three times for Labismina, who will then be disenchanted and a princess--Menial heroine (tends poultry) --Meeting-place (festival)--Threefold flight--lovesick prince--Recognition food (containing jewel given at third festival) --Happy marriage--Heroine forgets to call Labismina, who remains enchanted; and that is why sea roars in fury at times.",B
196,s196,"Unnatural father--countertasks-- -Magic dresses (declined by heroine)--Heroine flight with magic chest--Heroine disguise (ass-skin)--Menial heroine (goose-girl at farm) --Heroine discovered by young master--Tasks (to prove heroine worthy of marrying young master): (1) Spinning, performed by big-eyed woman; (2) knitting, performed by long-eared woman; (3) cooking, performed by woman with huge teeth; (4) sweeping, performed by man. Heroine promises to invite each benefactor to wedding; forgets man till just in time--Happy marriage.",B
200,s200,Death-bed promise-- -Deceased wife's ring marriage test--Unnatural father Nurse aid--Heroine's hiding-box--Life-sustaining drops--King buys wardrobe containing heroine--Surprise rencontre-- Happy marriage--Father comes as merchant; murders heroine's children; in guise of astrologer denounces heroine. She is buried alive. Father returns home. Old nurse comes to clear heroine. Father is caught and killed.,B
203,s203,Death-bed promise--Deceased wife resemblance marriage test -- Unnatural father -- Godmother aid -- countertasks-- Magic dresses--Heroine disguise--Flight--Menial heroine-- [Meeting-place (ball)--etc.--Happy marriage.],B
204,s204,"Unnatural father--Mother help at grave--countertasks; talking-sticks, ball of mist, sledge of wind--Heroine repairs to bath. Heroine flight--Sticks answer father--Dog sent after heroine, brings back heart of hare--Menial heroine (swineherd at palace)--Token objects thrown; afterwards named-- Magic dresses from treasure-oak-- Meeting-place (church)-- Threefold flight-- Pitch trap--Lost shoe--[Shoe marriage test]--King recognises heroine; spies magic dress beneath rags--Happy marriage.",B
206,s206,Unnatural father--countertasks--Magic dresses--Heroine disguise (cloak of lice) --Heroine flight--Menial heroine (scullion at palace) --Token objects -- Meeting-place (church)--[Threefold flight]--Pitch trap--Lost shoe--Shoe marriage test (at ball)--Heroine found in kitchen --Happy marriage.,B
208,s208,"King has three thrones, white, red, black, which he occupies according to mood. Youngest daughter is the favourite; he is angry with elder daughters and sits on black throne--King Lear judgment--Loving like salt--Outcast heroine (= youngest) -- Servant spares heroine's life; deludes king with sheep's heart and heroine's clothes -- Heroine disguise (ass-skin) --Witch aid -- Magic wand and nut given to heroine-- King ( father) hunts in forest; his dog discovers heroine and takes her daily whatever he catches--King tracks dog to hollow tree, finds heroine in ass-skin, takes her to palace as kitchen-maid--Menial heroine--Magic dresses--meeting-place (ball)--Threefold flight--Confetti and flowers scattered to hinder pursuit--Lost shoe--Heroine has stayed beyond midnight. In her haste to undress she omits to remove gold stockings--Shoe marriage test--Sisters for fun insist on trying shoe on kitchen maid, who tries to hide gold stockings-- Happy marriage--King rejoices to recover daughter. Sisters are jealous.",B
209,s209,King Lear judgment--Loving like salt --Outcast heroine-- Servant spares heroine's life; deludes king with eyes and heart of dog--Old woman aid--Heroine disguise; magic wand placed in her bosom makes heroine look like an old woman--Menial heroine--Prince looks through key-hole of hen-house--Heroine discovered--Happy marriage --Value of salt--Servant rewarded.,C
210,s210,"King Lear judgment--Loving like salt--Outcast heroine-- Servants spare heroine's life; delude king with eyes of bitch-- Heroine disguise (clothes bought of shepherd)--Menial heroine (tends turkeys as man) -- Heroine doffs disguise; turkeys seeing her in royal robes forget in their admiration to feed. One dies every day. Heroine explains that they die in fight. But prince goes to spy--Heroine discovered- Lovesick prince insists that Johnny of the Bark (heroine) shall bring him broth, though cook protests that Johnny is so filthily dirty--Prince tells heroine what he has witnessed--Happy marriage--Value of salt-- Father falls dead on recognising heroine.",C
211,s211,"Faithful se counsels king not to part with all his property to daughters--King Lear judgment--Loving like salt--Outcast heroine--Faithful servant saves heroine from death, finds her employment as turkey girl; deludes king with tongue of dog-- Elder daughters marry; bribe lawyer to disobey father's instructions about deed--Outcast father-- Faithful servant accompanies him, and finds him farm residence--Heroine disguise (peasant's dress)--Menial heroine--Dresses (rank)--Meeting-place (ball)-- Threefold flight--Hunting prince remarks resemblance of turkey girl to stranger at ball--Lost shoe--Shoe test--Shoe marriage test -- Father's restoration task--Villain Nemesis -- Happy Marriage--Faithful servant chooses bride and sits with her at royal table.",C
212,s212,Heroine accused by step-sisters of not loving father--King Lear judgment--Loving like salt (and bread)--Outcast heroine--Hunting prince finds heroine naked in tree; throws his mantle over her--Happy marriage--Father and step-sisters attend wed ding--Value of salt (and bread)--Villain Nemesis. Step-sisters driven naked into forest.,C
213,s213,King Lear judgment--Loving like salt--Outcast heroine-- Menial heroine (cook) puts ring of value in pie--Ring test: only cook can wear it. Prince watches her secretly: Heroine discovered--Happy marriage--Value of salt.,C
214,s214,King Lear judgment--Loving like salt--(Outcast heroine). Youngest daughter to live apart iii separate wing of the palace; persuades cook to prepare father's food without salt; is restored to favour--Value of salt.,C
215,s215,King Lear judgment--Loving like salt--Outcast heroine-- Nurse accompanies heroine. They meet funeral of old woman aged hundred years; nurse buys her skin from grave-digger-- Heroine disguise--Prince takes old woman ( = disguised heroine) to palace; she is nicknamed Blear-Eye. Queen is surprised to find how beautifully she can spin and sew--Heroine discovered-- Happy marriage--Value of salt.,C
216,s216,"King Lear judgment--Loving like salt--Outcast heroine--Heroine to be slain; mother contrives to spare her shuts her with food in silver candlestick which servant must sell to rich man--Prince buys Heroine's hiding-box, keeps it in dining room--Heroine eats supper prepared for prince. Servants scolded--Third night prince hides under table--Surprise rencontre-- Candlestick kept henceforth in prince's room. Prince supposed insane for insisting he will marry candlestick, which is taken to church--Heroine revealed--Happy marriage--Mother of prince has food without salt prepared for heroine's father; will not let heroine attend wedding feast--Value of salt--Heroine restored to repentant father. Heroine's mother sent for.",C
217,s217,"Gifts from father heroine outcast for choosing screw of salt-- Outcast heroine--Heroine disguise (old-woman skin)--Menial heroine (minds poultry)--Heroine doffs disguise; hens sing in admiration. She kills one each day. Mistress spies; tells prince, who persuades disguised heroine to be scullion at palace-- Heroine discovered--Happy marriage--Value of salt.",C
218,s218,"King Lear judgment--Loving like salt--Outcast heroine-- Sack of salt bound on heroine's back. Her tears strew the road with pearls--Father repents judgment; makes vain search for heroine--Old-woman aid--Heroine disguise (old-woman skin)-- Menial heroine--Nobleman carries old woman's burden; is rewarded with emerald book containing pearl, which he after wards gives to heroine's mother, who, reminded thereby at daughter's tears, faints--Heroine quest--Heroine discovered (heroine doffs skin to bathe at well by moonlight)--Flight [heroine flight]--Pursuit by nobleman, who misses heroine, but falls in with heroine's parents. Together they reach house of old woman, who, after reproving parents, presents heroine clad as princess--Old woman has collected heroine's tears; gives them as re for services as goose girl. Transforms her house into castle for heroine.",C
219,s219,King Lear judgment--Loving like salt--Outcast heroine-- Heroine disguise -- Menial heroine--Meeting-place (ball) -- Dresses (rank)--Threefold flight--Young master gives ring to heroine--lovesick (hero)--Recognition food--Happy marriage--Value of salt.,C
220,s220,"King Lear judgment--Loving like salt--Outcast heroine - Dresses hidden in hollow tree--Heroine disguise (peasant's dress)--Menial heroine (at castle)--Meeting-place (church) fold flight--Lost shoe, during first pursuit; produced by son of the castle during dinner; will only fit heroine-- -Afterwards, lost glove and ring the same. Heroine offers to fetch owner; returns in state--Happy marriage--Visit to father, whom elder daughters have deserted.",C
222,s222,King Lear judgment--Outcast heroine--Heroine disguise (ass-skin)--Menial heroine (goat-herd)--Heroine discovered-- Flight [heroine flight] -- Lost shoe -- Recognition-- Outcast Father--Father's restoration task--Happy marriage--Father is insane; heroine's care restores him to his senses.,C
223,s223,"King Lear judgment--Loving like salt--Outcast heroine-- Heroine disguise (old woman's rags)-- Menial heroine (minds sheep)--Heroine discovered by hunting prince--Lovesick prince--Recognition food, contains heroine's ring --Ring marriage test--Happy marriage--Value of salt.",C
224,s224,"King Lear judgment--Lo like salt--Outcast heroine-- Old woman aid--Magic box given to heroine, which, placed in hollow of a certain tree, will produce Magic dresses--Menial heroine; nicknamed, because of her dirty work, Vuil-Velleken, or Velleken-Vuil-Meeting-place (ball)--Heroine must leave at midnight, or Magic dresses will turn to rags; tells prince she comes ""from the land of Cadzand, where folk strike the palm of the hand with a wooden stick till out rushes blood"", repeating her mistress's words. (Token objects named)--Flight--Lost shoe-- Shoe marriage test--Happy marriage--Father attends wedding; is reconciled to heroine.",C
225,s225,"King Lear judgment--Loving like salt--Outcast heroine-- Heroine disguise (as page)--Heroine returns to father's palace; makes herself known to cook, whom she persuades to prepare food without salt--Value of salt.",C
226,s226,King Lear judgment--Loving like salt--Outcast heroine-- Servants spare heroine's life; delude king with horse's heart-- Heroine lives in forest on plants brought by birds and flowers brought by bees--Heroine discovered--Happy marriage--Value of salt--Two sisters remain old maids.,C
227,s227,"Ill-treated heroine (by mistress)--Task (spinning and weaving)--Task-performing animal (cow) must creep in at one of cow's ears, and out at the other, and task is performed-- Mistress's one-eyed daughter sent to spy; put to sleep by magic formula; two-eyed daughter, the same. Three-eyed daughter sees with third eye, which heroine omits to charm--Slaying of helpful animal--Eating taboo--Revivified bones. Magic apple- tree with golden leaves, silver branches, and crystal fruit, springs from bones--Wealthy youth will wed whichever girl can give him magic apples. Three sisters cannot reach them. Tree bows down to heroine--Happy marriage.",Da
